Date,Holiday,id,element,value
2021-11-11,Veterans Day,USW00094846,TMAX,139.0
2011-01-17,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,0.0
2011-02-21,Washington’s Birthday,USW00094846,TMAX,6.0
2011-12-26,Christmas Day,USW00094846,TMAX,72.0
2011-11-11,Veterans Day,USW00094846,TMAX,72.0
2011-11-14,Thanksgiving Day,USW00094846,TMAX,117.0
2011-05-30,Memorial Day,USW00094846,TMAX,311.0
2011-10-10,Columbus Day,USW00094846,TMAX,244.0
2011-07-04,Independence Day,USW00094846,TMAX,317.0
2011-09-05,Labor Day,USW00094846,TMAX,183.0
2008-02-18,Washington’s Birthday,USW00094846,TMAX,0.0
2008-01-21,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,-28.0
2008-01-01,New Year’s Day,USW00094846,TMAX,-28.0
2008-12-25,Christmas Day,USW00094846,TMAX,-44.0
2008-11-27,Thanksgiving Day,USW00094846,TMAX,72.0
2008-05-26,Memorial Day,USW00094846,TMAX,272.0
2008-09-01,Labor Day,USW00094846,TMAX,322.0
2008-10-13,Columbus Day,USW00094846,TMAX,250.0
2008-11-11,Veterans Day,USW00094846,TMAX,33.0
2008-07-04,Independence Day,USW00094846,TMAX,244.0
2001-01-15,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,17.0
2001-01-20,Inauguration Day,USW00094846,TMAX,-44.0
2001-01-01,New Year’s Day,USW00094846,TMAX,-44.0
2001-02-19,Washington’s Birthday,USW00094846,TMAX,56.0
2001-12-25,Christmas Day,USW00094846,TMAX,-56.0
2001-05-28,Memorial Day,USW00094846,TMAX,194.0
2001-11-22,Thanksgiving Day,USW00094846,TMAX,139.0
2001-09-03,Labor Day,USW00094846,TMAX,294.0
2001-07-04,Independence Day,USW00094846,TMAX,311.0
2001-11-12,Veterans Day,USW00094846,TMAX,133.0
2001-10-08,Columbus Day,USW00094846,TMAX,183.0
2005-02-21,Washington’s Birthday,USW00094846,TMAX,22.0
2005-01-20,Inauguration Day,USW00094846,TMAX,-22.0
2005-12-26,Christmas Day,USW00094846,TMAX,28.0
2005-11-24,Thanksgiving Day,USW00094846,TMAX,50.0
2005-05-30,Memorial Day,USW00094846,TMAX,233.0
2005-07-04,Independence Day,USW00094846,TMAX,306.0
2005-09-05,Labor Day,USW00094846,TMAX,306.0
2005-01-17,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,-117.0
2005-11-11,Veterans Day,USW00094846,TMAX,156.0
2005-10-10,Columbus Day,USW00094846,TMAX,172.0
2009-07-03,Independence Day,USW00094846,TMAX,261.0
2009-10-12,Columbus Day,USW00094846,TMAX,89.0
2009-01-19,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,-50.0
2009-05-25,Memorial Day,USW00094846,TMAX,194.0
2009-12-25,Christmas Day,USW00094846,TMAX,61.0
2009-02-16,Washington’s Birthday,USW00094846,TMAX,6.0
2009-01-01,New Year’s Day,USW00094846,TMAX,-6.0
2009-11-11,Veterans Day,USW00094846,TMAX,122.0
2009-11-26,Thanksgiving Day,USW00094846,TMAX,56.0
2009-09-07,Labor Day,USW00094846,TMAX,250.0
2009-01-20,Inauguration Day,USW00094846,TMAX,-44.0
2012-01-02,New Year's Day,USW00094846,TMAX,-17.0
2012-10-08,Columbus Day,USW00094846,TMAX,156.0
2012-05-28,Memorial Day,USW00094846,TMAX,350.0
2012-11-22,Thanksgiving Day,USW00094846,TMAX,172.0
2012-12-25,Christmas Day,USW00094846,TMAX,6.0
2012-11-12,Veterans Day,USW00094846,TMAX,44.0
2012-02-20,Washington's Birthday,USW00094846,TMAX,72.0
2012-01-16,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,72.0
2012-09-03,Labor Day,USW00094846,TMAX,311.0
2012-07-04,Independence Day,USW00094846,TMAX,389.0
2003-11-11,Veterans Day,USW00094846,TMAX,133.0
2003-07-04,Independence Day,USW00094846,TMAX,344.0
2003-09-01,Labor Day,USW00094846,TMAX,183.0
2003-11-27,Thanksgiving Day,USW00094846,TMAX,72.0
2003-12-25,Christmas Day,USW00094846,TMAX,22.0
2003-10-13,Columbus Day,USW00094846,TMAX,228.0
2003-01-20,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,-61.0
2003-05-26,Memorial Day,USW00094846,TMAX,217.0
2003-01-01,New Year’s Day,USW00094846,TMAX,6.0
2003-02-17,Washington’s Birthday,USW00094846,TMAX,0.0
