VolcanoNumber,VolcanoName,EruptionNumber,EruptionCategory,EvidenceMethod_Dating,VEI,ErupStartDate,ErupEndDate,Latitude,Longitude
263340,Raung,22383,Confirmed Eruption,Historical Observations,,1/21/2021,4/14/2021,-8.119,114.056
263250,Merapi,22381,Confirmed Eruption,Historical Observations,1,12/31/2020,8/19/2021,-7.54,110.446
360150,Soufriere St. Vincent,22385,Confirmed Eruption,Historical Observations,4,12/27/2020,4/22/2021,13.33,-61.18
344020,San Cristobal,22394,Confirmed Eruption,Historical Observations,3,12/27/2020,3/19/2021,12.702,-87.004
263310,Tengger Caldera,22382,Confirmed Eruption,Historical Observations,1,12/26/2020,12/28/2020,-7.942,112.95
332010,Kilauea,22380,Confirmed Eruption,Historical Observations,0,12/20/2020,5/23/2021,19.421,-155.287
233020,"Fournaise, Piton de la",22371,Confirmed Eruption,Historical Observations,0,12/7/2020,12/8/2020,-21.244,55.708
264230,Lewotolok,22373,Confirmed Eruption,Historical Observations,2,11/27/2020,8/19/2021,-8.274,123.508
282060,Kikai,22374,Confirmed Eruption,Historical Observations,1,10/6/2020,10/6/2020,30.793,130.305
255060,Kavachi,22364,Confirmed Eruption,Historical Observations,0,9/2/2020,4/10/2021,-8.991,157.979
282050,Kuchinoerabujima,22391,Confirmed Eruption,Historical Observations,1,8/29/2020,8/29/2020,30.443,130.217
261080,Sinabung,22365,Confirmed Eruption,Historical Observations,3,8/8/2020,8/19/2021,3.17,98.392
344040,Telica,22368,Confirmed Eruption,Historical Observations,1,7/20/2020,12/9/2020,12.606,-86.84
263340,Raung,22367,Confirmed Eruption,Historical Observations,1,7/16/2020,10/3/2020,-8.119,114.056
345070,Turrialba,22369,Confirmed Eruption,Historical Observations,1,6/18/2020,8/24/2020,10.025,-83.767
357090,Copahue,22376,Confirmed Eruption,Historical Observations,2,6/16/2020,10/19/2020,-37.856,-71.183
311240,Cleveland,22361,Confirmed Eruption,Historical Observations,3,6/1/2020,6/1/2020,52.825,-169.944
282060,Kikai,22359,Confirmed Eruption,Historical Observations,1,4/29/2020,4/29/2020,30.793,130.305
300130,Karymsky,22360,Confirmed Eruption,Historical Observations,3,4/1/2020,8/19/2021,54.049,159.443
266030,Soputan,22354,Confirmed Eruption,Historical Observations,2,3/23/2020,4/2/2020,1.112,124.737
255060,Kavachi,22357,Confirmed Eruption,Historical Observations,0,3/16/2020,4/30/2020,-8.991,157.979
290240,Sarychev Peak,22384,Confirmed Eruption,Historical Observations,1,2/29/2020,8/19/2021,48.092,153.2
343100,San Miguel,22355,Confirmed Eruption,Historical Observations,1,2/22/2020,2/22/2020,13.434,-88.269
233020,"Fournaise, Piton de la",22343,Confirmed Eruption,Historical Observations,0,2/10/2020,4/6/2020,-21.244,55.708
345020,Rincon de la Vieja,22346,Confirmed Eruption,Historical Observations,2,1/30/2020,12/13/2020,10.83,-85.324
